strategy,k,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1
Strategy 7: Semantic Search - Discharge Summary,10,0.0988527724665392,0.07930520061212804,0.0926737426029657,0.09833311272451208,0.08806748491462463,0.07411820547917128
Strategy 7: Semantic Search - Discharge Summary,20,0.07500000000000001,0.05055854376851011,0.1341842352493176,0.1146280928030088,0.08934353839047982,0.05877140260911024
Strategy 7: Semantic Search - Discharge Summary,50,0.05061185468451243,0.029414431965299213,0.21538197788615865,0.14464765809038865,0.07800468859435772,0.04210095797873307
Strategy 7: Semantic Search - Discharge Summary,100,0.036539196940726576,0.020375816396163437,0.30306912205702474,0.18197259977035837,0.06325259073040748,0.033263489004009106
Strategy 8: Multi-Input Semantic (All Entities),5,0.1659655831739962,0.13795964286784726,0.07954526767368576,0.08490753395872234,0.09981139264522786,0.08994763173409463
Strategy 8: Multi-Input Semantic (All Entities),10,0.11778202676864247,0.08150856740446465,0.11010299496682757,0.10392469157026513,0.10475788122007343,0.07590036099838797
Strategy 8: Multi-Input Semantic (All Entities),20,0.08475143403441683,0.051127678936099534,0.15255506439309355,0.1194225500268922,0.10114064941038696,0.058933155853825664
Strategy 8: Multi-Input Semantic (All Entities),50,0.0550095602294455,0.030344577895333954,0.23390281875373586,0.1471172145753918,0.08478991094141068,0.04295341877193223
Strategy 8: Multi-Input Semantic (All Entities),100,0.03831739961759083,0.020379727473633678,0.31807624601120515,0.17995518127640336,0.06633706766164407,0.033019298951600315
Strategy 9: Multi-Input Semantic (Disease + Drug),5,0.15296367112810708,0.13746479688245244,0.07386624073422277,0.08500823998499071,0.09216152114711883,0.0898303629265385
Strategy 9: Multi-Input Semantic (Disease + Drug),10,0.11156787762906312,0.0803317016819209,0.10474421878151217,0.10217039221857713,0.09946651383878728,0.0756985023549777
Strategy 9: Multi-Input Semantic (Disease + Drug),20,0.08217017208413002,0.05141379491183433,0.14640995851322777,0.11755042505185231,0.09769304109415781,0.059130010228932224
Strategy 9: Multi-Input Semantic (Disease + Drug),50,0.053862332695984706,0.030624415956630496,0.22903761584246102,0.14748692831472265,0.08299509498298452,0.04347198164693437
Strategy 9: Multi-Input Semantic (Disease + Drug),100,0.03859464627151052,0.02041243317972061,0.31948145190786226,0.17998502656402626,0.06678415425201088,0.03301413922707097
Strategy 10: Hybrid Semantic + Keyword,5,0.18680688336520077,0.14296082105938332,0.08725595741209664,0.08863963028982237,0.11036491476021067,0.09340239001446939
Strategy 10: Hybrid Semantic + Keyword,10,0.13260038240917785,0.08307157272426256,0.12001409013138488,0.10090900664653886,0.11607290779524725,0.07494095804426201
Strategy 10: Hybrid Semantic + Keyword,20,0.09173040152963673,0.056431213082589464,0.16042072468352692,0.11991039430229562,0.10835720386667816,0.06251821590144023
Strategy 10: Hybrid Semantic + Keyword,50,0.0551434034416826,0.031032710945807333,0.2343666247593504,0.15149482446335952,0.08497662496699054,0.044167628144213524
Strategy 10: Hybrid Semantic + Keyword,100,0.03816443594646272,0.02111780027711637,0.31525688959876724,0.18428483375964316,0.0660366896704736,0.03437229130022144
Strategy 11: Triple Hybrid (Tag + Keyword + Semantic),5,0.2705544933078394,0.19208297281485764,0.13243497653031167,0.13172921674280605,0.16686569392557563,0.14025340510302797
Strategy 11: Triple Hybrid (Tag + Keyword + Semantic),10,0.19216061185468453,0.10912355959773977,0.18158731509838733,0.14899466904021016,0.17384182824371183,0.11021303653890448
Strategy 11: Triple Hybrid (Tag + Keyword + Semantic),20,0.12452198852772467,0.06077503728538569,0.22869130362779042,0.1641482427393117,0.1509437486770442,0.0766725048466106
Strategy 11: Triple Hybrid (Tag + Keyword + Semantic),50,0.06680688336520077,0.030501465194405282,0.29202567367731497,0.17420434374075866,0.10396526247797122,0.04498101373260549
Strategy 11: Triple Hybrid (Tag + Keyword + Semantic),100,0.0442734225621415,0.019774005213095337,0.3743220113983623,0.1837574677730228,0.07691022852005268,0.03183389920606636
Strategy 12: Semantic + Tag Filtering,5,0.1468451242829828,0.14021490235827358,0.0709385720879154,0.08741329814480682,0.08886754001961597,0.09415761937962444
Strategy 12: Semantic + Tag Filtering,10,0.11032504780114723,0.08324495335932955,0.10316701104998692,0.10504519072412581,0.0983232784958081,0.07877507082472582
Strategy 12: Semantic + Tag Filtering,20,0.08001912045889104,0.051063260896416975,0.14362058917802045,0.12078871575226048,0.09543793705122543,0.05989965824882995
Strategy 12: Semantic + Tag Filtering,50,0.051701720841300196,0.029371539288475513,0.22143860043849123,0.14809816674743564,0.07977518572717125,0.042086576880054
Strategy 12: Semantic + Tag Filtering,100,0.03691204588910134,0.02056854204405752,0.3057984210129707,0.18243600573728114,0.06388620003421099,0.033539087382978124
